Tweet_ID,Tweet,Sentiment
31,RT @user ohh noo a witch please don’t turn me into a frog who no longer has to pay rent ahhh nooo please don’t make me live inside…,0
32,"@user Loved my time in Manjimup, back in 1995. I picked Cauliflower, packed Apples and harvested Spuds. We then partied hard at Manjimup caravan park and the nearest pub ( the name of which I forget) Happy days!",1
33,"Longstaff gives the ball away AGAIN! 5 on 2 at the back! Piss poor! @user get that incompetent, cabbage headed Buffoon out of our club!",0
34,@user anything 4 u pumpkin ☺️,1
35,@user I’m just gonna grab some sweet caramel pop corn and enjoy the ride lmao,1
36,"@user Asparagus, but they were canned asparagus. Also clams, my mother made me eat a raw clam at the Saint Gennaro’s feast in Little Italy when I was a little kid, didn’t eat another clam till I was 20 years old, love them now.",1
37,1g net carbs and only cost $1 - ☕️ Keto Low-Carb Pumpkin Spice Latte can be enjoyed hot or cold ANY time of the year. RECIPE + VIDEO &gt;&gt;,1
38,@user @user I had an onion beer one time... never again 🤢,0
39,"y'all i feel like being a petty bitch today i'm going to call idiots a ""corn nut"", like i do but i'm gonna sprinkle that shit everywhere wanna help me? CornNut 🤣",0
40,The Onion is just Newsmax for leftists,0
41,Do you love Po' Boys? Love fried oysters? I created an Air-Fried Vegan Oyster Mushroom Po' Boy with a Spicy Avocado Remoulade that will have you thinking it is the real thing! Vegan NewOrleans OysterMushrooms PoBoy,1
42,carrot bones r yummy,1
43,"@user @user @user Anytime I see ""wake up"", it red flags to me that the person (assuming you're not a bot b/c I mean twitter is full of em ) ignores geopolitical relationships and internationalism simply because they don't like globalism, which ignores how the world works on the macro level.",0
44,@user Who votes these imbeciles into office! Th IQ of a cucumber!,0
45,"RT @user With this Avocado green goddess dressing, Vegan never tasted so good.",1
46,Tried okra for the first time yesterday and it’s not bad.,1
47,"@user $600 was half my monthly rent, in 2002. It's an insult how they want to squash people into boxes and then leave them to starve because they didn't burst out the boxes on their own fast enough.",0
48,Time for Christmas menus. This silky and sensational potato and leek soup topped with toasted hazelnuts is love! @ Gustoso,1
49,@user kale u did well n i’m proud of u🥺,1
50,Little Red Radish is in Brazil!! 😍😍😍😍😍 Thank you Kai!!! 🙏🏻🙏🏻💖💖 I'm so glad you like it! 😊🍵,1
51,Woooow I really burnt my quinoa😪,0
52,Artichokes — great for so much more than just spinach dip! Read up on some new recipes here: Then head to Market Basket to grab all of the ingredients!,1
53,@user DUDE THATS AMAZING BECAUSE THERE’S AN IDOL ANIMATION IN DONKEY KONG 64 WHERE DK EATS A FLY,1
54,"Bonjour! Let's make a sandwich to start a wonderful day! Open the fridge, and grab two pieces of bagels. Take tuna as the protein, avocado and sprouts as veggies. Finally, add some mayo and provolone cheese. Have it with a cup of breakfast tea. Enjoy your morning!",1
55,@user Garlic croutons are the best snack 1v1 me,1
56,"@user I mean, it is a gorgeous pumpkin",1
57,RT @user No lie this pretzel is so addictive 🥺🥺 Aku sampai terlupa yang aku tengah cut sugar ya. 5 jars left! Anyone nak cuba especially…,1
58,"Polished off some shrimp, quinoa, chick peas, kale, and peppers. So yum 🤤 but I’ve been craving banana pudding like crazy, so I just made some 😋 happy preggo here 😆",1
59,@user @user @user @user @user I think someone clearly with the mental capacity of a turnip should avoid calling anyone a fucktard or any other derogatory name.,0
60,"@user @user @user is like an onion ring. no matter what you put it on, it makes it better. TheFive Outnumbered Gutfeld My600lbLife",1
61,RT @user Give lentils the praise they deserve,1
62,I also made cabbage soup today. It was so yummyyyyyyyy,1
63,@user I don't like avocado though,0
64,@user LAOS FUCK YOU CABBAGE IS NASTY,0
65,@user I’d love that. But even if @user got European precipitation data I’d already be delighted!,1
66,"Its not that I dont think they put some weird shit in the vaccine, its that they literally control everything and have been puttin shit in the meat, in the lettuce, spraying it on the plants, hell in the fucking water supply for yearssssssss",0
67,RT @user LOOK! Blizzy's got a big Carrot! hehehe oppai oc,1
68,THE BEST CHICKEN AND MUSHROOM PASTA BAKE pastabake chickenandmushroomp... via @user pastabake chickenandmushroompastabake,1
69,@user lentils are op as hell,0
70,@user Ew. I absolutely do not make my tomato soup out of ketchup and water.,0
71,@user Or Cheesecake Factory? The cucumber lemonade slaps,1
72,"@user Listen, I don’t cook anything that doesn’t come in a purple box with a cheese packet but that seems like nowhere near enough garlic",0
73,"RT @user @user Min i was inspired, ngizwe ngiwuhalela, im tired of eating meat. Tasted sooo yummy wt rice🙈😂😂",1
74,tonight's dinner! Mint sauce looks kinda fucked on mum's plate but I promise it all tastes fucking amazing! Huge love to @user for showing me the potato recipe! They're so crispy!!!,1
75,"@user Ps there are no good gifs for as far back as I go. Top music for my year was Mash Potato Time, Roses are red violets are blue, I can’t stop loving you. I’m an old Tweeter! Lol",1
76,"Wing dings, greens, macaroni &amp; yams. 😍😍😍",1
77,Things didn’t work out with my son’s mom because she was a kettlecorn and I’m an asparagus,0
78,"@user I love the avocado toast sticker, so cute 😭 If you don't mind sharing, what do you plan to use the bullet points under each month for? Important events? I can never stick to one style and try out different spreads all the time",1
79,RT @user Takeaways from @user debut -Identity crisis -Super amazing singer (I love your voice) and video designer -Great at voicing…,1
80,RT @user No real wrestling background and he is a very unsafe worker. Can't cut a good promo. Only says You're Next. Only thi…,0
81,"@user @user But it is so entertaining, like the Onion. :)",1
82,"RT @user For the last time this year, it's Buzzing day today! This week, I reflect on the big insect news of 2020, feat @user @user",1
83,"Really pleased with my first ever fruit &amp; veggie box delivery, as it perfectly complements my remainders at home (mainly apples and lettuce by now). So scared now though of our next Ocado-video telling me off for not ordering enough vegetables in the future 😉😱",1
84,"@user Yummy stuff, it’s important to cook what you are hungry for, but only if it’s good stuff. Right now I’m hungry for rice green beans and chicken Parmesan haha",1
85,@user Ridiculous idea. Squash space force.,0
86,@user I feel for this lady. Imagine being in your home naked and the police knocking like that. The terror that must entails. The mayor @user should be ashamed of herself trying to squash the budget.,0
87,"@user This stuffing one year. It was made with a very grainy homemade bread, had chunks of undercooked onion in it. It was so bad.",0
88,@user L😂L. And that celery root purée looked yummy too! 🥂,1
89,an avocado ? thanks !,1
90,"This is awesome. When Mac was in middle school, he’d write BLT (Be Like Tebow, not Bacon, Lettuce and Tomato) on his wristbands.",1
91,@user and like beer battered cauliflower is so sinful,0
92,Leek Say He Gone Look Like Lil Baby For My Birthday 😂 I Can’t Wait.,1
93,@user @user Not following you. But blocking will do. Those two Democrats are demons and will squash your rights into oblivion.,0
94,"@user Candy corn. Nothing but disappointment. Or licorice, which I despise.",0
95,RT @user I am so Blessed to announce my partnership. Shout out to the team at @user for sending me this dope assorted m…,1
96,I’m loving this delicious seasonal recipe featuring butternut squash agrodolce! Check out how chef Carrie Baird makes fancy toast that’s perfect for fall. ElevatetheEveryday foodie TopChef,1
97,time to drink this nasty ass celery juice 💔,0
98,@user why the fuck am I not in the most inner circle,0
99,"RT @user This is awesome. When Mac was in middle school, he’d write BLT (Be Like Tebow, not Bacon, Lettuce and Tomato) on his wris…",1
100,@user Pretty happy with how the mushroom tea scene came out in this music video from Las Vegas bluegrass band The Rifleman,1
101,@user why mushroom?🥰,1
102,The latest The Squash Ontario Daily! Thanks to @user @user squash,1
103,"Just got a call back from the vet. It’s not good news. His red blood cells were very low, white blood cells. His bone marrow isn’t looking to good. It’s possible Turnip has feline Lukemia or a tick borne disease from when he was an outdoor cat. He is getting a snap test for",0
104,@user Good job 👏🏻,1
105,My child loves his carrot,1
106,@user happy birthday yams ! 💗,1
107,"RT @user Do you know thay AVOCADO 🥑 spelt backwards is odacova, which doesn't make sense just like your relationship.",0
108,RT @user Cuz I got nothing else to post so throw back to some of my lineart ~&gt; final piece! Dang I still love this piece so much @user,1
109,my hands still smell like garlic almost 4 days later,0
110,Omg I hated this! &amp; threw it tf up I hate celery,0
111,RT @user This is - to put this as gently as I can - infuckingsane. This is madder than two rabbits in a sack with only one carrot.…,0
112,I need new wireless earbuds. The ones I currently have are too big and uncomfortable with having a mask on all day and glasses. My right ear has cauliflower ear and it's just pressure that gives me a headache,0
113,@user Wow wtf! Who are you to say we wouldn't miss those lives if a huge weapon went off.? Are you turning into a fucking nazi dude?!!🤬🤬wtf. That's just as bad as onion fuck &amp; his bullshit,0
114,@user well we can all agree that ur cuter than me,1
115,Garlic and onion powders are not the same. And ion eem be cookin like that.,0
116,I’m Mad As Shit I Don’t Have An Onion For My Home Fries 😫😫,0
117,@user @user @user Good! 😛,1
118,didn't realize how little i want my towels to smell like cucumber until i accidentally bought a detergent that makes your towels smell like cucumber,0
119,@user Man those are both good. GC with tomato soup is good when it's cold out.,1
120,RT @user Pumpkin Spice tastes bad,0
121,"@user You care about the country now? Last time I checked you were cashing in on insider COVID information while you and your party called it a hoax. GTFO, lettuce-head.",0
122,"@user chips are for dinner, bread is for breakfast and lunch. beans can go with both but not at the same time. i also hate the way beans feel in my mouth but never mind that. also cut a man some cucumber or cook him some peas, he needs some green on that plate.",0
123,@user @user ＞Hello✨ Mr. Fabe Rice✌️ Thank you💕 We were doing a commercial at the station😆👍 We were surprised by many people 💓 I will continue to do my best to be erotic and sexy 😍,1
124,"RT @user Those motherfuckers were like ""eh, let's ACTIVELY UNDERMINE RESPONSE EFFORTS because ???? herd immunity?????"" and you'r…",0
125,"@user @user Looks good. I’m Hungarian and we call our fried cabbage with egg noodles and onion - Kaposztá. I use exactly what you said, except no pepper. Love it. When we have it, it’s our whole meal.",1
126,There's one thing I fucking hate in the world and that's men who carrot dangle large sums of money in front of sex workers. You should be ashamed of yourself.,0
127,"@user so true! My brother turned me on to crock pots. He just threw in a roast, carrots, potatoes, and golden mushroom soup.",1
128,plain rice cakes + sriracha is sexy,1
129,"Man, I love eggplant, especially used in Japanese cuisine, I'd give up meat for it.",1
130,It is absolutely outrageous what these universities are trying to do to squash free speech of conservative students! This needs to be stopped now and every parent should be involved!,0
131,Why you had to ruin a good thing. “Slimy like okra”.,0
132,Either or 😭😍 I love cabbage,1
133,@user I will skunk you so bad you'll need a tomato bath to get the stench off,0
134,@user @user @user THANK U SM KALE,1
135,@user fucking turnip him lewis,0
136,@user I hate to tell you. Fighting for Connecticut is useless when our whole country is going to collapse with Joe Biden. Connecticut was lost forever in the 90s. @user @user @user @user @user @user @user @user,0
137,@user I will call that man anything but his name😂 It’s too funny! Chablagoo. Chalamard. Chickpea😂,1
138,RT @user Kale one day I ll also find da love of my life en I ll drop dis single lyf😊😊😊😊😊,1
139,@user Loved this. Learnt this as ‘potato ash’.,1
140,@user People who eat green beans for pleasure are like people who drink alcohol for the taste. They're doing it wrong.,0
141,"The lentils also came with a sealed community of bugs, larvae and eggs. GROSS!!! Goya mites",0
142,"@user @user Franklin Graham has been possessed by Beezlebub! Anyone, thanking you Mr. Ex El Presidente, for the last 4 years, is certainly under the control of a malevolent spirit. Please keep your promise and leave America. Mr. Pumpkin Man Loser!!",0
143,"This is some of the best chicken I’ve made. Maybe it’s the cake flour? I wish I would’ve used more fresh garlic. Could’ve used basil. Not sure if I have any tho. But that’s why I experiment with stuff because I can. It’s the one thing I like about cooking for 1. Also, leftovers!",1
144,"Natalie Portman is also a joo ma’am, maybe just cut off corn syrup from your diet and stop treating your POS with birth control",0
145,"@user I don’t know why, but I’m excited to see mine",1
146,"Invented a recipe I’m calling spinach dip pasta because that’s what it tastes like, but it also has ground beef and bacon in it. It is VERY good and I will have weeks worth of it left over to freeze.",1
147,Okay I’m obsessed with air fried asparagus 😍,1
148,"Avocados are high in dietary fiber and monounsaturated fat. They help you feel full, reduce cholesterol &amp; can help improve gut health as well. Try these easy recipes to include this healthy &amp; tasty fruit in your diet! recipe health lifestyle food",1
149,"Winter Quinoa Salad w/Dijon Tarragon Dressing A light yet festive salad for the winter season. It is full of protein, fiber, antioxidants, and vitamins. vegan plantbased eatyourhealings quinoa wintersalads veganrecipes plantbasedrecipes salad",1
150,"Good Morning! Let's make a sandwich to start a beautiful day! Open the fridge, and grab two pieces of toasts. Take tuna as the protein, tomato and spinach as veggies. Finally, add some mayo and cheddar cheese. Have it with a cup of breakfast tea. Enjoy your morning!",1
151,@user has a lot of nerve being racist when she looks like a knockoff cabbage patch doll from the Dollar General.,0
152,"RT @user Ahoy, zshq. Am I doing this right? A smelly troll keeps encroaching on my territory. I had to tell him off with some…",0
153,"Trying to grow a sweet potato vine is such a chew, dunno if it’s rotting or not. ugh",0
154,So basically we’ve had a big fucking carrot dangled in front of our faces and had it snatched away at the last minute,0
155,"I'm eating a bowl of cauliflower for dinner and my cat jumped up here, licked one and then ran away in disgust.",0
156,"@user WAIT, TRUE! I feel like the grilled cheese, tomato soup combo is unmatched 😌",1
157,Made garlic mushroom mac n no cheese with @user vegan cheese sauce. Usually I hate any kind of vegan cheesiness but this was yum! You could easily add nooch to make it more cheesy 🥰,1
158,"🍽 Pan-seared trout, with flavours of parsnip and parsley 👨‍🍳 Alex 🗣 ""What a cracking piece of work"" - @user MasterChefUK",1
159,"Most disturbing is limit on staples, like rice to 2. Really?",0
160,RT @user Thanks Kale 🥬,1
161,A5 Wagyu with onion. The onions are so buttery and yummy.,1
162,Best idea I’ve had lately was getting the Avocado Lime Ranch at Chick-fil-A for dipping my fries and nugs in 🤤,1
163,So the pandemic has been named the story of the year. I'm betting there's a shit filled pumpkin who disagrees.,0
164,"Thank you Vinita @user for this Shredded Brussels with Lime and Original Black Garlic served on a Coconut Cauliflower Rice and garnished with fresh Chillies. Another fresh, vibrant vegan dish, the black garlic giving the earthy umami taste.",1
165,@user Ridiculous idea. Squash space force.,0
166,"Corn, broccoli, potatoes, asparagus, and peppers 😊",1
167,"@user yup! tortilla base- tomato and bbq sauces- sweet corn, carmelized onions, sausage bits and mixed chheeeese- only takes 5 min in the oven 😋",1
168,Don Pork with avocado is the superior post workout meal ifykyk,1
169,WOW! Awesome Eggplant and Flowering / Eggplant / Purple / Long / Flower ... via @user,1
170,"Joe Biden Gives BIZARRE Response to Hunter Scandal in Softball Interview What the fuck is wrong with this potato head he said he swallows,,must be why Hunter is such a degenerate @user We are Legion!",0
171,"RT @user Pop some pop corn, this is going to be fun!",1
172,@user very disappointed with my replacement for cheese and onion pasties this evening! In an order full of vegan and vegetarian products I receive a pack of beef Cornish pasties? 😱🥵,0
173,🌞 🍄 🐊 @user loved this season.,1
174,"@user $300 will get you the canister set, lettuce AND celery keeper. And will last forever. 😆",1
175,@user Nam rata be quiet. You are a confused woman. Let's hope your pumpkin follows Trump's footsteps and becomes a well known grifter.,0
176,"@user I love The Onion, but this is upsetting and not funny.",0
177,That moment when you realise the gorgeous eggplant and mushroom curry you’ve whipped up for a dinner party of seven is only enough to serve about three. Yep.,1
178,@user Physicians should never be granted a medical degree without knowing the critical difference between blood sugar (glucose) and corn sugar (dextrose/D-glucose). Corn sugar (dextrose/D-glucose) can prove fatal to corn-allergic patients.,0
179,@user the Onion is such a fake friend 😣,0
180,why is life so expensive :(( pumpkin's not even having a good time,0
181,Tonight's Bedtime Christmas Story is brought to you by Mrs H (who has rather elf-like ears tonight!!) and it is Merry Christmas Baked Potato by Matt Lucas. Happy listening!,1
182,@user istg she made me feel so much pain 😭😭,0
183,"Bonjour! Let's make a sandwich to start a wonderful day! Open the fridge, and grab two pieces of bagels. Take turkey as the protein, onion and spinach as veggies. Finally, add some mayo and provolone cheese. Have it with a cup of breakfast tea. Enjoy your morning!",1
184,@user Merry early christmas my family ♡,1
185,@user The US being bad doesn't make other right wing imperialist powers good you fucking egg lmao,0
186,"早上好! Let's make a sandwich to start a wonderful day! Open the fridge, and grab two pieces of toasts. Take turkey as the protein, onion and spinach as veggies. Finally, add some mustard and cheddar cheese. Have it with a cup of sparkling water. Enjoy your morning!",1
187,RT @user What a freaking fail no pumpkin patch or lights 😕,0
188,"Eating Avocado Is Good For Your Gut (Study); 5 Fun Ways To Include Avocado In Your Diet: ... for any of the three major meals of the day- breakfast, lunch and dinner. While one group ate avocado with each meal, other… dinner recipes somethingnew JHE",1
189,"@user those fellas are so adorable 🥺 but im just too attached to orange tabbies. i only had 3 cats in my life and they were all orange tabbies. they were called; pumpkin, mango and lemon. but, mango is the only one alive. heres him.",1
190,@user Im sorry but i got cheesed by chrome up b at zero in a turny and i cannot endorse this message but i wont root for the other side,0
191,Mitch is probably one of the smartest people I know. So you can imagine how much I enjoy it when he says things like... “lentils? Isn’t that what you scoop stews and soups with?” Nope that’d be a ladle,1
192,@user Whole wheat pasta with egg and avocado... I could eat this everyday 🙏,1
193,can’t wait till i have my own kids to take out into da forest and teach them what every little mushroom and moss is called by name&lt;3,1
194,So there you go oh can’t make a wife out of a depressed potato,0
195,Onion be doing her shit too!!!,0
196,@user I love putting the spicy lime ones in tomato soup 🤤 gonna go get some now,1
197,@user Can't we get a buff the cigna it's like shooting a potato gun at someone's foot even in hardcore hit marker 3 times with flak jacket or further nerf to flak jacket.. double kills are impossible,0
198,@user @user @user @user @user I think someone clearly with the mental capacity of a turnip should avoid calling anyone a fucktard or any other derogatory name.,0
199,@user I like making them w lentils,1
200,@user Physicians should never be granted a medical degree if they don't know the critical difference between blood sugar (glucose) and corn sugar (dextrose/D-glucose). Corn sugar (dextrose/D-glucose) can prove fatal to corn-allergic patients.,0
201,@user Iont like garlic,0
202,"@user Sounds lovely except for the green beans. I've got roast pork with tarragon, leek and potato al forno, and veg for dinner tomorrow.",1
203,@user They’re just so dry and don’t really have much of a taste imo. It’s kinda like eating baked corn starch :/,0
204,@user first world problems 😩,0
205,"@user @user Thanks for your unreasoned non-analysis. Actually no thanks for just another infantile TDS tantrum rant. Given Trump is demonstrably smarter than you, how do you feel you stack up intellectually against a stick of celery? Not well given celery is useful and has good taste.",0
206,@user @user @user @user @user why the FUCK did I get 20+ notices?,0
207,@user @user Oh is it word salad day again already? Great. I love word salad day! My turn... Potato terror monitor drone jotter pie,1
208,"RT @user Pretty face,small waist and thick thighs 😜😜yes I AM SEGOS PUMPKIN❤️Baku Baku song is out🥳🥳",1
209,"Lastly, her early work A Squash and a Squeeze, is a beautiful, fable-like tale, demonstrating her flair for sparse storytelling, showing, not telling, &amp; in that way is a perfect companion to Hitch's silent masterwork, The Lodger. Leads in both, of course, learn important lessons.",1
210,"Good Morning! Let's make a sandwich to start a happy day! Open the fridge, and grab two pieces of toasts. Take ham as the protein, avocado and sprouts as veggies. Finally, add some cream and provolone cheese. Have it with a cup of breakfast tea. Enjoy your morning!",1
211,RT @user cucumber avocado 🤝 being cursed food because they’re hated by louis tomlinson,0
212,@user I just had the best avocado😂😂😂,1
213,"Don't care about the face filter, I always look like a potato so might as well use a potato filter. 🤣 Anyway I finished my nephew's Christmas knitted project present. He's 8 and is obsessed with Super Mario, so I cooked this together and may I say what a lovely mustache 👌",1
214,Forgive yo friends and family ok so they were a bitch and when weren’t u? boom roasted go squash your beefs PETTY beefs DOE fam hence the sometimes all the time cunts nothing to see here move along fix yo shit,0
215,"Today's bake is a yellow courgette, sweet onion &amp; Gruyère pastry tart. Have a wonderful Thursday! 😊💕🎄⛄️ baking homebaking pastry dinner lunch cheese vegetarian vegetables",1
216,They must be crying into their quinoa...,0
217,@user Love the floral one and the mushroom 🍄 🤩,1
218,@user QUESTIONETTE N RICE PILAF JSNDLGKSDFG 😂😂 and Habit's ^w^ face is just ❤️❤️❤️,1
219,"Help always comes in the form of Music, for Me. It’s like God is My Grandmother on Thanksgiving saving the dark turkey and yams with the marshmallows on top for when I arrive. It’s beautiful.",1
220,@user @user @user Now you’re being an idiot. If it wasn’t Jews it would have been someone else. Cuisine is dictated often by the food of the region. According to you the usuals of a chickpea and fava bean are theft. What were you expecting Jews of the region to create as food? Seal meat?,0
221,@user Even ruder that celery does! 🤮,0
222,"""14years ago...This little pumpkin GG was born 😍😍😍 A rollercoaster of emotions...when two became three!! ❤️❤️❤️ ThrowbackThursday MemoryTherapy"" - Namrata @user ShreyasMedia Shreyasgroup",1
223,"@user @user @user @user How did you get ""snark and malice"" from a straightforward, factual statement? If I were to call you a benighted fool with pumpkin guts for a brain who should be forced to clean bedpans in Covid ICUs for the rest of his life, that would fit the bill. But I didn't.",0
224,"I gotta have lettuce, tomatoes, pickles&amp;onions on mine, but damn those look good.",1
225,@user @user @user Flank steak done right is so very good. Nice flavor and chew. But needs a good marinade as noted. I like this one,1
226,fuck my asshole with a cucumber please,0
227,@user incredible. show-stopping. potato. large,1
228,@user @user Thank you carrot 🥳,1
229,Genuinely concerned that my only plans for today are playing call of duty and consuming unhealthy amounts of kettle corn,0
230,"@user There are two vegan sandwiches that I really enjoy and are easy to prepare. 1. Tomato with mayo, lettuce, salt &amp; pepper 2. Cucumber with mayo, lettuce, salt &amp; pepper.",1
231,what the fuck is lettuce,0
232,In the last week I’ve had •bean soup •beef soup •chicken soup •onion soup •ramen which I don’t think is technically a soup but they add so much fucking water I’m counting it anyways. @user wanna trade places?,0
233,If only your name rhymed with nipple thirsty cucumber 🎵 I'd have a great idea for a song.,1
234,@user He made a most delicious pumpkin pie,1
235,"@user I used to eat at Peter Luger’s (Brooklyn) with my parents long ago. Sorry, but I thought this was great steak. The tomato/onion sliced salad with proprietary sauce was the best. I miss going there.",1
236,@user Avocado toast with a lah egg on top👌🏽,1
237,@user @user I struggle to run 45 fps 😂 potato laptop 💀,0
238,@user It was my first time trying eggplant.. SO GOOD!!!!,1
239,"RT @user The Pumpkin pie outfit came from a suggestion from @user in my Discord, thanks again man",1
240,"@user She DID you potato.... remember Russia? Also, he would if it was won fair and square. It wasn't. What a fekking moron you are.",0
241,You can really do anything with cauliflower,1
242,First I was told broccoli is man made. Now it comes from fucking cabbage ??? What is real anymore,0
243,@user lol Definately better than peanut butter free celery!,1
244,"Finally is school done for me💪😎 Now some chill,soda,avocado salat and Minecraft Story Mode on Netflix. Nothing can stop me from relaxing",1
245,RT @user dude i think it went up the pipe that my nose is in and now all i smell is kale and it’s not good,0
246,"I want to explore veggie dishes. Like cooked asparagus, broccoli, etc is cool but I want more casseroles, bakes, etc. I want to lean more to plant based and seafood in 2021",1
247,Stay warm this season with toasty quinoa and hot coffee! quinoa norquin instafood yummy foodie delicious,1
248,"@user (sorry, im a lettuce liker within reason and would drop the pickles because I find pickle flavor overpowering and im just not a fan)",0
249,so interesting vice Sweet Corn Tamales Recipe,1
250,@user sorry no yams :( a lot of stuff is out of stock,0
251,@user Omg he’s so happy 😁,1
252,"I miss going out to dinner so much that I don't even mind that earlier this year we were swindled into buying a $115 bottle of sake and our bill being $400 (I'm poor I'm not bragging), I miss nice prepared meats and fucking pear puree and garlic butter and sesame green beans",0
253,@user Just love a bit of frozen lettuce 😉,1
254,"My kids want bullshit for lunch! Pancakes.. grilled cheeses.. etc.. like danggg! Y’all don’t want wings &amp; fries, tacos, stuffed chicken &amp; asparagus?? Oh aite😂😂🤷🏽‍♀️",0
255,Chickpea &amp; Gwaun are doing fine! 💚😀Hedgehogs Autumnjuveniles,1
256,"@user Dumb made up shit about pronouns is NOTHING to do with human rights and everything to do with self obsession and delusion. Most people know this, and its well ripe for serious ridicule. TransWomenAreNotWomen. He/She/Turnip/Venezuela/Whatever. 🤣👍",0
257,"RT @user @user What a creep. Go one further what a rich, over-priveleged, ex-public school boy creep! Preppies are over-re…",0
258,"They opening the border back, why was it closed at the first place?? Seems like the Rice in kano has finished 😭😭",0
259,@user why the fuck am I not in the most inner circle,0
260,@user @user I don't mind a little bit of guac in a burrito or something because it doesn't taste of avocado! But on its own...gross,0
261,this took longer than expected due to art lows and work schedule but it is here! also thank you my friends @user @user and @user for letting me use your ocs :&gt; give them a follow!,1
262,Dr. Acheng is even fat these days on our money! kale embwa ezo! mtschew😡😡😡😡 kusesemyaministryofhealth,0
263,"@user @user I hear what your saying, but this isn't the case of just most yards. Rice also has most catches, TD's, and the fact that he's done this in an era that didn't have great passing statistics, it's all the more impressive.",1
264,RT @user 1/2 Enjoying the delicious treatos that Wilf &amp; Ernie @user sent us 😍😍❤️❤️ They are made with Green beans &amp; peanu…,1
265,"Nothing like a good home cooked meal. Good homegrown Romain lettuce and a piece of chop steak chess delicious and healthy. Can I get an amen,,,,, 🙌🏾🙌🏾💯",1
266,RT @user Avocado toast is so good.,1
267,@user man can’t even declare his love for cornbread without being accused of disrespecting corn 😒 smh,0
